Wall time,Step,Value
1747070018.228725,4764000,-126.77747344970703
1747070042.7080028,4776000,-119.68281555175781
1747070068.9448597,4788000,-123.02357482910156
1747070098.337491,4800000,-118.45162200927734
1747070159.8648968,4812000,-55.934669494628906
1747070207.1079204,4824000,-15.887609481811523
1747070233.8024518,4836000,-22.420875549316406
1747070257.2684836,4848000,-21.63610076904297
1747070283.0878422,4860000,-20.15842056274414
1747070308.762871,4872000,-21.419296264648438
1747070333.85592,4884000,-21.947221755981445
1747070359.368484,4896000,-21.352235794067383
1747070384.8379884,4908000,-21.31423568725586
1747070409.2047262,4920000,-20.645822525024414
1747070434.6378422,4932000,-21.072467803955078
1747070460.7121398,4944000,-23.258474349975586
1747070486.359143,4956000,-21.261241912841797
1747070512.7512639,4968000,-21.543216705322266
1747070538.6515207,4980000,-22.171451568603516
1747070565.4881248,4992000,-22.089420318603516
1747070590.7237625,5004000,-21.33425521850586
1747070616.8973744,5016000,-20.055280685424805
1747070641.9404266,5028000,-23.3762264251709
1747070667.1227582,5040000,-21.81064796447754
1747070692.7758994,5052000,-20.06756591796875
1747070718.5148487,5064000,-19.667083740234375
1747070744.4774752,5076000,-21.07210922241211
1747070770.0914166,5088000,-19.862653732299805
1747070794.4715357,5100000,-19.40860366821289
1747070821.8317676,5112000,-18.058185577392578
1747070851.260331,5124000,-18.226425170898438
1747070880.3639238,5136000,-18.345232009887695
1747070904.2541406,5148000,-18.355005264282227
1747070929.053039,5160000,-19.45110321044922
1747070953.6688786,5172000,-17.393558502197266
1747070978.720405,5184000,-17.844921112060547
1747071004.4905958,5196000,-17.99128532409668
1747071029.9868124,5208000,-16.743009567260742
1747071055.0357542,5220000,-18.767780303955078
1747071080.5063925,5232000,-16.34384536743164
1747071105.3748934,5244000,-17.766294479370117
1747071130.6118417,5256000,-15.1980562210083
1747071155.5301282,5268000,-14.565223693847656
1747071181.5811944,5280000,-15.36882495880127
1747071206.4255114,5292000,-15.632956504821777
1747071231.903235,5304000,-17.72080421447754
1747071256.688509,5316000,-15.877585411071777
1747071282.7105112,5328000,-15.458186149597168
1747071308.314709,5340000,-16.569868087768555
1747071333.1464746,5352000,-14.718896865844727
1747071358.6056442,5364000,-15.352264404296875
1747071383.5816264,5376000,-16.741134643554688
1747071408.3712575,5388000,-14.059638977050781
1747071433.6668262,5400000,-12.52047061920166
1747071459.1690583,5412000,-14.496158599853516
1747071466.4355283,5424000,-15.119484901428223
1747071491.0509274,5436000,-14.655244827270508
1747071516.3567505,5448000,-13.580089569091797
1747071540.6631105,5460000,-13.458324432373047
1747071568.3596463,5472000,-13.081507682800293
1747071594.369105,5484000,-14.224038124084473
1747071645.5435188,5496000,-14.694215774536133
1747071696.5027118,5508000,-13.53710651397705
1747071745.3639028,5520000,-19.022600173950195
1747071792.1005788,5532000,-14.16331672668457
1747071838.4235635,5544000,-13.554713249206543
1747071884.9607844,5556000,-13.948507308959961
1747071931.0022204,5568000,-14.879602432250977
1747071979.3879833,5580000,-16.203710556030273
1747072026.3534415,5592000,-13.95565128326416
1747072073.1916249,5604000,-13.224433898925781
1747072120.0792053,5616000,-13.788914680480957
1747072166.5499449,5628000,-18.07489013671875
1747072212.911716,5640000,-14.32872200012207
1747072263.899301,5652000,-11.809086799621582
1747072313.7506683,5664000,-11.950416564941406
